Product Name,Price,Original Price,Discount,Stock Availability,Image URL,Rating,Product Link
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 2,099","KSh 2,930",28%,671 items left,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/jameson-jameson-irish-whiskey-750-ml-58538273.html
Agapeon Dragon Rechargeable Hair Clipper,KSh 319,KSh 710,55%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/agapeon-dragon-rechargeable-hair-clipper-215672193.html
Fashion Sneakers Women Shoes Women's Shoes Ladies,KSh 523,KSh 980,47%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/sneakers-women-shoes-womens-shoes-ladies-fashion-mpg432844.html
Fashion Women Shoes Ladies Shoes For Women Shoe,KSh 531,"KSh 1,029",48%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/fashion-women-shoes-ladies-shoes-for-women-shoe-54066767.html
LED 2.4G Rechargeable Wireless Mouse,KSh 375,KSh 731,49%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/led-2.4g-rechargeable-wireless-mouse-generic-mpg416675.html
ALagzi New Young Fashion Trendy Board Shoes - Blue,"KSh 1,447 - KSh 1,590","KSh 2,373 - KSh 2,789",48%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/alagzi-new-young-fashion-trendy-board-shoes-blue-162376810.html
Fashion Men Leather Loafers & Slip-Ons,KSh 808,"KSh 1,549",48%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/fashion-men-leather-loafers-slip-ons-55720099.html
Fashion Shoes For Women Sneakers Ladies Shoes Sneakers,KSh 491,KSh 864,43%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/fashion-shoes-for-women-sneakers-ladies-shoes-sneakers-58975592.html
Smartwatch Business Bluetooth Waterproof Sport,KSh 574,KSh 688,17%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/generic-smartwatch-business-bluetooth-waterproof-sport-115543616.html
"Vision Plus 32"" Digital HD Frameless TV, DVBT2/S2 - Black (2YRS WRTY)","KSh 9,799","KSh 15,995",39%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/vision-plus-32-digital-hd-frameless-tv-dvbt2s2-black-2yrs-wrty-125899150.html
"XIAOMI Redmi A3x, 6.71"", 64GB + 3GB RAM (Dual SIM), 5000mAh, Black","KSh 9,499","KSh 10,999",14%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/xiaomi-redmi-a3x-6.71-64gb-3gb-ram-dual-sim-5000mah-black-301783825.html
Garnier Even & Matte Vitamin C Sunscreen SPF30 50ml,KSh 875,"KSh 1,250",30%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/garnier-even-matte-vitamin-c-sunscreen-spf30-50ml-69384579.html
"Samsung Galaxy A05, 6.7'' 4GB RAM + 64GB ROM (Dual Sim) 50MP Camera, 5000mAh - Black","KSh 10,979","KSh 14,999",27%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/samsung-galaxy-a05-6.7-4gb-ram-64gb-rom-dual-sim-50mp-camera-5000mah-black-185881786.html
ASHION 2024 Men's Panties Underpant Underwear 4-piece,KSh 664,"KSh 1,232",46%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/ashion-2024-mens-panties-underpant-underwear-4-piece-261468128.html
NIVEA 5 In 1 Complete Care Nourishing Cocoa Body Lotion With Cocoa Butter & Vitamin E – 200ML(Pack Of 2).,KSh 612,KSh 720,15%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/nivea-5-in-1-complete-care-nourishing-cocoa-body-lotion-with-cocoa-butter-vitamin-e-200mlpack-of-2.-153133559.html
Itel BudsAce TWS Earbuds ENC Super Bass 35-Hour Battery Life,KSh 989,"KSh 1,300",24%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/itel-budsace-tws-earbuds-enc-super-bass-35-hour-battery-life-215779593.html
Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1Y WRTY),"KSh 17,050","KSh 23,000",26%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/roch-rfr-120s-i-single-door-refrigerator-90-litres-silver-1y-wrty-161792756.html
Vision Plus VP2110SB - 2.1CH Soundbar With Bluetooth - Black (2YRs WRTY),"KSh 6,499","KSh 9,995",35%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/vision-plus-vp2110sb-2.1ch-soundbar-with-bluetooth-black-2yrs-wrty-125899253.html
Nunix Aluminium Pressure Cooker - Explosion Proof - 7  Litres - Silver,"KSh 2,760",N/A,No Discount,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/nunix-aluminium-pressure-cooker-explosion-proof-7-litres-silver-169297390.html
Solarmax 100 WATTS SOLAR AFRICA FULLKIT WITH 10M DROPPING CABLE,"KSh 10,999","KSh 22,000",50%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/solarmax-100-watts-solar-africa-fullkit-with-10m-dropping-cable-97610875.html
"Infinix Hot 50 Pro+, 6.78"", 128GB + 8GB RAM (Dual Sim), 5000mAh, Purple","KSh 22,240","KSh 30,000",26%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/infinix-hot-50-pro-6.78-128gb-8gb-ram-dual-sim-5000mah-purple-297879051.html
Mythco 46Pcs Socket Wrench Set - Auto Repair Tool Kit Black,KSh 892,"KSh 1,729",48%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/mythco-46pcs-socket-wrench-set-auto-repair-tool-kit-black-190325324.html
TWS Airpods Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 455,KSh 799,43%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/airpods-pro3-bluetooth-headsets-wireless-pods-pro-earpods-earphones-tws-mpg7287930.html
"Mythco Rechargeable Electric Screwdriver Portable Set, With 47pcs Cordless Accessories","KSh 1,364","KSh 2,800",51%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/mythco-rechargeable-electric-screwdriver-portable-set-with-47pcs-cordless-accessories-279463373.html
Mythco 46Pcs Socket Wrench Set - Auto Repair Tool Kit Red,KSh 892,"KSh 1,729",48%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/mythco-46pcs-socket-wrench-set-auto-repair-tool-kit-red-190325275.html
2025 New Model Men's And Women's Universal LED Watch + Crown Bracelet,KSh 528,KSh 800,34%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/generic-2025-new-model-mens-and-womens-universal-led-watch-crown-bracelet-178014437.html
Fashion 6 IN 1 Women's Watch + Bracelet Set,KSh 490,KSh 800,39%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/fashion-6-in-1-womens-watch-bracelet-set-225829121.html
"Vitron HTC3200S, 32"" Smart Frameless Android LED TV, With Bluetooth, (1YR WRTY)","KSh 11,413","KSh 15,000",24%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/vitron-htc3200s-32-smart-frameless-android-led-tv-with-bluetooth-1yr-wrty-261943073.html
5 By 8 Soft Fluffy Grey Patches Carpets Non-slip Rugs Floor Mat,"KSh 2,289","KSh 2,299",1%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/generic-5-by-8-soft-fluffy-grey-patches-carpets-non-slip-rugs-floor-mat-251557063.html
Fashion Genuine Leather Back To School Shoes - Black,"KSh 878 - KSh 1,199","KSh 1,700 - KSh 3,080",61%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/genuine-leather-back-to-school-shoes-fashion-mpg318656.html
Smartwatch Business Bluetooth Waterproof Sport,KSh 574,KSh 688,17%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/generic-smartwatch-business-bluetooth-waterproof-sport-115543616.html
Samsung Galaxy A52 5G 128 GB HDD- 6GB RAM - Awesome White,"KSh 24,905","KSh 45,000",45%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/samsung-galaxy-a52-5g-128-gb-hdd-6gb-ram-awesome-white-163895722.html
"XIAOMI Redmi A3, 6.71"", 4GB RAM +128GB (Dual SIM), 5000mAh, Forest Green (2YRs WRTY)","KSh 10,103","KSh 11,000",8%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/xiaomi-redmi-a3-6.71-4gb-ram-128gb-dual-sim-5000mah-forest-green-2yrs-wrty-286515091.html
Fashion Men's Sandals Slippers Open Half Shoes White,"KSh 1,399","KSh 2,000",30%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/fashion-mens-sandals-slippers-open-half-shoes-white-271982802.html
Nunix Hair Red Blow Dryer With Beauty Accessories HD-01,KSh 854,KSh 910,6%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/nunix-hair-red-blow-dryer-with-beauty-accessories-hd-01-185789864.html
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black (1YR WRTY)","KSh 19,459","KSh 28,599",32%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/vitron-htc4388fs-43-smart-android-frameless-tv-black-1yr-wrty-93348943.html
"Itel S23+ 6.78"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Energetic Orange","KSh 13,599","KSh 23,000",41%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/itel-s23-6.78-128gb-4gb-ram-50mp-camera-dual-sim-4g-5000mah-energetic-orange-249610901.html
RichRipple LED Display Bluetooth Headsets 9D Stereo Wireless Earphones Earpods,KSh 465,KSh 884,47%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/richripple-led-display-bluetooth-headsets-9d-stereo-wireless-earphones-earpods-179381044.html
Hikers 32'' Inch Frameless Android Smart HD LED TV With Bluetooth - Black,"KSh 10,669","KSh 21,947",51%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/hikers-32-inch-frameless-android-smart-hd-led-tv-with-bluetooth-black-203856840.html
WK 02 CH Multimedia Speaker 10000watts (1YR WRTY),"KSh 5,499","KSh 7,500",27%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/wk-02-ch-multimedia-speaker-10000watts-1yr-wrty-216067763.html
Yixin 3 Pack Men's Summer Loose Short Sleeve T-shirt,KSh 919,"KSh 1,671",45%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/yixin-3-pack-mens-summer-loose-short-sleeve-t-shirt-81677958.html
Tisa Nyota Ladies Handbags PU Leather Bucket Bags Women Tote Bags 3 In 1,"KSh 1,050","KSh 1,500",30%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/tisa-nyota-ladies-handbags-pu-leather-bucket-bags-women-tote-bags-3-in-1-189820859.html
"Smart Pro 20L Digital Microwave Oven (SMV-20L-V4 2), Black (1YR WRTY)","KSh 7,799","KSh 11,999",35%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/smart-pro-20l-digital-microwave-oven-smv-20l-v42-black-1yr-wrty-280221109.html
"Amtec 50Q6 - 50"" Android Smart TV, Inbuilt Decoder + WI-FI Netflix/YouTube/Bluetooth - Black (1YR WRTY)","KSh 33,160","KSh 40,000",17%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/amtec-50q6-50-android-smart-tv-inbuilt-decoder-wi-fi-netflixyoutubebluetooth-black-1yr-wrty-64904031.html
"Freeyond M5,8GB+128GB,6.52"", 50MP,4G Smartphone 5000mAh Dual SIM Android Phone","KSh 11,555","KSh 21,196",45%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/freeyond-m58gb128gb6.52-50mp4g-smartphone-5000mah-dual-sim-android-phone-109534189.html
Waterproof Matress Protector And Cover,"KSh 2,299 - KSh 2,899","KSh 4,000 - KSh 5,000",43%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/waterproof-matress-protector-and-cover-generic-mpg322171.html
12 Pcs Silicone Cooking Utensils Kitchen Utensil Set,"KSh 1,402","KSh 2,100",33%,Stock info unavailable,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/generic-12-pcs-silicone-cooking-utensils-kitchen-utensil-set-274321036.html
